,ic,ev,label
chr1_f_c150320,69,0,NO
chr1_f_c150538,389,0,NO
chr1_f_c150540,20903,77,YES
chr1_f_c15063,757,12,NO
chr1_f_c151011,91,0,NO
chr1_f_c15106,1566,0,NO
chr1_f_c151171,66,1,NO
chr1_f_c151193,2084,1,NO
chr1_f_c151207,52,0,NO
chr1_f_c151236,110,0,NO
chr1_f_c151331,150,0,NO
chr1_f_c151356,62,8,NO
chr1_f_c151442,80,3,NO
chr1_f_c151457,80,0,NO
chr1_f_c151745,123,0,NO
chr1_f_c151827,777,0,NO
chr1_f_c151858,102,4,NO
chr1_f_c15187,71,1,NO
chr1_f_c152198,82,0,NO
chr1_f_c152366,73,0,NO
chr1_f_c152661,59,1,NO
chr1_f_c15277,110,0,NO
chr1_f_c152770,55,62,YES
chr1_f_c152953,796,2,NO
chr1_f_c152987,58,4,NO
chr1_f_c153102,74,1,NO
chr1_f_c153155,160,1368,YES
chr1_f_c153510,282,0,NO
chr1_f_c153568,104,1,NO
chr1_f_c153647,48,0,NO
chr1_f_c153665,405,5,NO
chr1_f_c154008,102,1,NO
chr1_f_c154018,71,0,NO
chr1_f_c154070,170,0,NO
chr1_f_c154089,58,0,NO
chr1_f_c154302,95,1,NO
chr1_f_c15435,107,0,NO
chr1_f_c154360,113,0,NO
chr1_f_c154404,52,0,NO
chr1_f_c154453,4986,12,NO
chr1_f_c15448,53,0,NO
chr1_f_c154556,54,0,NO
chr1_f_c154877,158,5,NO
chr1_f_c154888,2297,38,YES
chr1_f_c15502,53,0,NO
chr1_f_c155024,56,1,NO
chr1_f_c155062,72,0,NO
chr1_f_c155318,988,0,NO
chr1_f_c155538,389,1,NO
chr1_f_c155611,512,2,NO
chr1_f_c155774,203,1,NO
chr1_f_c155847,164,1,NO
chr1_f_c155942,86,6,NO
chr1_f_c156004,175,1,NO
chr1_f_c156140,59,2,NO
chr1_f_c156274,229,7,NO
chr1_f_c156275,64,0,NO
chr1_f_c156787,359,1,NO
chr1_f_c15680,68,0,NO
chr1_f_c156815,220,3,NO
chr1_f_c156951,286,0,NO
chr1_f_c157031,47,0,NO
chr1_f_c15708,134,0,NO
chr1_f_c157087,298,0,NO
chr1_f_c157137,48,0,NO
chr1_f_c157166,174,0,NO
chr1_f_c157195,69,0,NO
chr1_f_c157369,146,0,NO
chr1_f_c157440,3290,5898,YES
chr1_f_c157485,146,0,NO
chr1_f_c157487,56,4,NO
chr1_f_c15758,179,1,NO
chr1_f_c157681,77,0,NO
chr1_f_c157819,50,1,NO
chr1_f_c157860,62,0,NO
chr1_f_c157992,72,0,NO
chr1_f_c158900,165,0,NO
chr1_f_c158910,765,1,NO
chr1_f_c158963,93,0,NO
chr1_f_c159025,90,0,NO
chr1_f_c159143,72,0,NO
chr1_f_c159287,84,10,NO
chr1_f_c159353,245,0,NO
chr1_f_c159517,59,0,NO
chr1_f_c159605,52,0,NO
chr1_f_c159763,76,0,NO
chr1_f_c159765,54,0,NO
chr1_f_c159839,364,0,NO
chr1_f_c15989,78,0,NO
chr1_f_c159907,81,0,NO
chr1_f_c160135,52,2,NO
chr1_f_c160254,60,0,NO
chr1_f_c160269,481,0,NO
chr1_f_c160455,1761,2,NO
chr1_f_c160526,320,2,NO
chr1_f_c160549,47,1,NO
chr1_f_c160784,55,0,NO
chr1_f_c160824,80,0,NO
chr1_f_c160856,1025,0,NO
chr1_f_c160919,83,0,NO
chr1_f_c160933,118,0,NO
chr1_f_c160934,187,0,NO
chr1_f_c161180,1693,0,NO
chr1_f_c161461,521,28,YES
chr1_f_c16160,70,0,NO
chr1_f_c161841,53,0,NO
chr1_f_c161981,1281,0,NO
chr1_f_c162324,57,0,NO
chr1_f_c162409,341,2,NO
chr1_f_c162698,146,13,NO
chr1_f_c163077,66,0,NO
chr1_f_c163185,1549,0,NO
chr1_f_c163244,228,0,NO
chr1_f_c16334,57,0,NO
chr1_f_c163495,88,0,NO
chr1_f_c163592,184,8,NO
chr1_f_c163674,625,1110,YES
chr1_f_c163676,1124,814,YES
chr1_f_c163687,83,0,NO
chr1_f_c163813,49,0,NO
chr1_f_c163814,59,1,NO
chr1_f_c163825,61,0,NO
chr1_f_c164193,587,0,NO
chr1_f_c164284,53,2,NO
chr1_f_c164297,124,0,NO
chr1_f_c164299,90,0,NO
chr1_f_c1643,160,8,NO
chr1_f_c164302,71,0,NO
chr1_f_c16446,100,0,NO
chr1_f_c164464,118,0,NO
chr1_f_c164478,47,0,NO
chr1_f_c164505,359,18,NO
chr1_f_c164523,478,22,YES
chr1_f_c164649,50,7,NO
chr1_f_c164788,145,3,NO
chr1_f_c164832,7839,430,YES
chr1_f_c164884,133,0,NO
chr1_f_c165027,96,7,NO
chr1_f_c165236,93,0,NO
chr1_f_c165287,48,0,NO
chr1_f_c16537,74,1,NO
chr1_f_c165537,456,6,NO
chr1_f_c165609,54,9,NO
chr1_f_c16590,93,0,NO
chr1_f_c166363,364,0,NO
chr1_f_c16646,143,0,NO
chr1_f_c166508,185,0,NO
chr1_f_c166511,503,0,NO
chr1_f_c16685,98,1,NO
chr1_f_c167034,75,0,NO
chr1_f_c167098,162,0,NO
chr1_f_c167155,62,0,NO
chr1_f_c167254,47,15,NO
chr1_f_c167496,356,12,NO
chr1_f_c167663,49,3,NO
chr1_f_c168185,50,1,NO
chr1_f_c168206,73,0,NO
chr1_f_c168268,147,0,NO
chr1_f_c168570,94,0,NO
chr1_f_c16859,63,0,NO
chr1_f_c168622,10609,6,NO
chr1_f_c168783,1927,1,NO
chr1_f_c169029,68,3,NO
chr1_f_c169175,124,1,NO
chr1_f_c169191,54,0,NO
chr1_f_c16920,102,1,NO
chr1_f_c169313,141,0,NO
chr1_f_c169385,79,2,NO
chr1_f_c169391,68,0,NO
chr1_f_c169474,450,2,NO
chr1_f_c16949,57,0,NO
chr1_f_c169529,48,1,NO
chr1_f_c169591,47,1,NO
chr1_f_c169621,128,1,NO
chr1_f_c169721,801,0,NO
chr1_f_c169790,172,0,NO
chr1_f_c16994,181,2,NO
chr1_f_c170048,80,0,NO
chr1_f_c170125,64,0,NO
chr1_f_c170170,277,0,NO
chr1_f_c170305,8746,107,YES
chr1_f_c170308,27438,51787,YES
chr1_f_c170328,373,3,NO
chr1_f_c17686,64,1,NO
chr1_f_c18174,48,209,YES
chr1_f_c18183,229,0,NO
chr1_f_c18445,71,0,NO
chr1_f_c18715,1493,482,YES
chr1_f_c18725,13299,264,YES
chr1_f_c18742,49,0,NO
chr1_f_c18807,141,0,NO
chr1_f_c18813,1643,1,NO
chr1_f_c18815,18261,25058,YES
chr1_f_c18829,5507,11584,YES
chr1_f_c18853,824,43,YES
chr1_f_c18863,13189,263,YES
chr1_f_c18864,124,0,NO
chr1_f_c18882,427,0,NO
chr1_f_c18887,67,0,NO
chr1_f_c18889,151,74,YES
chr1_f_c19081,107,0,NO
chr1_f_c19723,50,0,NO
chr1_f_c1980,71,1,NO
chr1_f_c20094,323,0,NO
chr1_f_c20217,1017,0,NO
chr1_f_c2030,105,4,NO
chr1_f_c20327,51,0,NO
chr1_f_c20369,654,1,NO
chr1_f_c20540,51,0,NO
chr1_f_c21270,83,0,NO
chr1_f_c21272,47,1,NO
chr1_f_c21720,107,1,NO
chr1_f_c21723,184,2,NO
chr1_f_c21724,105,0,NO
chr1_f_c21726,124,0,NO
chr1_f_c21731,725,0,NO
chr1_f_c21734,86,1,NO
chr1_f_c21746,47,0,NO
chr1_f_c21769,844,9,NO
chr1_f_c21863,55,0,NO
chr1_f_c21880,164,0,NO
chr1_f_c21935,146,1,NO
chr1_f_c22001,72,0,NO
chr1_f_c2227,102,1,NO
chr1_f_c22445,133,0,NO
chr1_f_c2249,631,0,NO
chr1_f_c22518,113,0,NO
chr1_f_c2273,53,1,NO
chr1_f_c2319,532,0,NO
chr1_f_c2327,49,2,NO
chr1_f_c23480,64,0,NO
chr1_f_c23513,49,0,NO
chr1_f_c23721,111,37,YES
chr1_f_c24063,58,0,NO
chr1_f_c2409,62,0,NO
chr1_f_c24264,48,0,NO
chr1_f_c24486,48,0,NO
chr1_f_c24545,3082,27,YES
chr1_f_c24678,733,1,NO
chr1_f_c24897,3626,4405,YES
chr1_f_c24898,86,13,NO
chr1_f_c25002,84,0,NO
chr1_f_c25034,119,3,NO
chr1_f_c25125,155,0,NO
chr1_f_c25163,69,0,NO
chr1_f_c25235,3892,0,NO
chr1_f_c25412,210,0,NO
chr1_f_c2542,71,1,NO
chr1_f_c25436,142,0,NO
chr1_f_c25580,56,0,NO
chr1_f_c25635,78,0,NO
chr1_f_c2637,77,1,NO
chr1_f_c26424,65,0,NO
chr1_f_c26957,96,0,NO
chr1_f_c2724,48,0,NO
chr1_f_c27663,61,1,NO
chr1_f_c27790,47,1,NO
chr1_f_c28136,56,0,NO
chr1_f_c2836,65,0,NO
chr1_f_c28516,239,0,NO
chr1_f_c28586,208,2,NO
chr1_f_c28590,51,0,NO
chr1_f_c29118,78,3,NO
chr1_f_c294,38303,2711,YES
chr1_f_c295,17077,120,YES
chr1_f_c29537,93,2,NO
chr1_f_c296,188,6,NO
chr1_f_c29664,237,6,NO
chr1_f_c2972,55,0,NO
chr1_f_c298,48439,726,YES
chr1_f_c29849,52,2,NO
chr1_f_c299,10794,149,YES
chr1_f_c30224,61,0,NO
chr1_f_c30284,136,0,NO
chr1_f_c30285,315,0,NO
chr1_f_c303,60,5,NO
chr1_f_c304,5340,121,YES
chr1_f_c305,4349,78,YES
chr1_f_c30506,70,0,NO
chr1_f_c306,27508,1665,YES
chr1_f_c30647,1146,77,YES
chr1_f_c307,3550,122,YES
chr1_f_c30750,62,0,NO
chr1_f_c308,749,15,NO
chr1_f_c30845,60,1,NO
chr1_f_c309,54,2,NO
chr1_f_c3093,1235,0,NO
chr1_f_c30966,394,0,NO
chr1_f_c30974,59,0,NO
chr1_f_c30989,4054,8,NO
chr1_f_c30998,4642,23,YES
chr1_f_c310,11470,93,YES
chr1_f_c312,1222,41,YES
chr1_f_c31269,9548,526,YES
chr1_f_c3127,116,0,NO
chr1_f_c313,2850,78,YES
chr1_f_c314,1421,18,NO
chr1_f_c315,10130,101,YES
chr1_f_c316,1372,35,YES
chr1_f_c317,1887,50,YES
chr1_f_c31796,308,1,NO
chr1_f_c31798,50,1,NO
chr1_f_c31809,681,2,NO
chr1_f_c31860,294,0,NO
chr1_f_c31914,171,0,NO
chr1_f_c32186,79,0,NO
chr1_f_c32266,629,1,NO
chr1_f_c3249,66,0,NO
chr1_f_c32790,65,0,NO
chr1_f_c32825,101,0,NO
chr1_f_c32955,48,4,NO
chr1_f_c32985,56,0,NO
chr1_f_c32988,53,0,NO
chr1_f_c33145,65,0,NO
chr1_f_c33219,5607,7,NO
chr1_f_c33338,55,0,NO
chr1_f_c3350,771,0,NO
chr1_f_c33627,267,1,NO
chr1_f_c34023,414,9,NO
chr1_f_c34025,306,1,NO
chr1_f_c34110,235,0,NO
chr1_f_c34165,3695,0,NO
chr1_f_c3437,77,0,NO
chr1_f_c34371,211,0,NO
chr1_f_c34765,65,0,NO
chr1_f_c34802,49,0,NO
chr1_f_c34922,60,0,NO
chr1_f_c34923,122,0,NO
chr1_f_c35008,50,0,NO
chr1_f_c35058,119,0,NO
chr1_f_c35233,98,0,NO
chr1_f_c35270,63,0,NO
chr1_f_c35272,62,0,NO
chr1_f_c35587,2565,8,NO
chr1_f_c35694,65,0,NO
chr1_f_c35723,285,0,NO
chr1_f_c35857,162,0,NO
chr1_f_c35885,73,0,NO
chr1_f_c35912,129,1,NO
chr1_f_c3592,51,0,NO
chr1_f_c35942,57,0,NO
chr1_f_c3601,58,1,NO
chr1_f_c36315,161,1,NO
chr1_f_c3667,118,0,NO
chr1_f_c36730,62,0,NO
chr1_f_c37041,79,1,NO
chr1_f_c37111,214,1,NO
chr1_f_c37240,185,1,NO
chr1_f_c37499,74,0,NO
chr1_f_c37935,180,0,NO
chr1_f_c37984,1538,6,NO
chr1_f_c38053,53,0,NO
chr1_f_c38574,251,1,NO
chr1_f_c38590,55,0,NO
chr1_f_c38614,239,271,YES
chr1_f_c38649,52,0,NO
chr1_f_c38705,81,0,NO
chr1_f_c3892,209,0,NO
chr1_f_c3900,78,0,NO
chr1_f_c39405,48,0,NO
chr1_f_c39464,72,1,NO
chr1_f_c39531,84,1,NO
chr1_f_c39716,83,0,NO
chr1_f_c39829,237,0,NO
chr1_f_c39899,49,325,YES
chr1_f_c40348,93,0,NO
chr1_f_c40457,110,0,NO
chr1_f_c40460,156,0,NO
chr1_f_c40498,167,1,NO
chr1_f_c40849,1417,1761,YES
chr1_f_c41520,475,6,NO
chr1_f_c41549,111,1,NO
chr1_f_c41763,252,0,NO
chr1_f_c41839,451,2,NO
chr1_f_c41916,11650,48,YES
chr1_f_c4210,128,0,NO
chr1_f_c42268,97,1,NO
chr1_f_c42539,112,0,NO
chr1_f_c42894,28073,709,YES
chr1_f_c42898,29465,315,YES
chr1_f_c42962,114,0,NO
chr1_f_c43153,104,0,NO
chr1_f_c43254,2683,1,NO
chr1_f_c43355,54,1,NO
chr1_f_c43626,119,0,NO
chr1_f_c43639,419,0,NO
chr1_f_c44687,133,0,NO
chr1_f_c44812,97,0,NO
chr1_f_c44859,58,0,NO
chr1_f_c45431,310,0,NO
chr1_f_c45647,51,0,NO
chr1_f_c45649,125,1,NO
chr1_f_c45734,144,1,NO
chr1_f_c45809,94,0,NO
chr1_f_c45942,50,0,NO
chr1_f_c46172,180,0,NO
chr1_f_c46550,87,0,NO
chr1_f_c46581,77,0,NO
chr1_f_c46925,1025,0,NO
chr1_f_c47017,58,0,NO
chr1_f_c47131,98,0,NO
chr1_f_c47338,349,2,NO
chr1_f_c47364,2858,69,YES
chr1_f_c47370,4655,13,NO
chr1_f_c47377,10260,60,YES
chr1_f_c47382,11860,10,NO
