id,ic,ev,label
chr1_f_c104498,1.7,0,No
chr1_f_c104593,2,0,No
chr1_f_c104701,1.7,0,No
chr1_f_c104750,5,0,No
chr1_f_c104856,4.3,0,No
chr1_f_c104973,1.3,0,No
chr1_f_c105074,29.7,0,No
chr1_f_c105400,1.3,2.5,Yes
chr1_f_c105481,1,0,No
chr1_f_c105551,2.3,1.5,Yes
chr1_f_c105661,1.3,0,No
chr1_f_c105745,911.7,11,Yes
chr1_f_c105783,2.3,0,No
chr1_f_c105797,3.3,0,No
chr1_f_c105822,2.7,0,No
chr1_f_c105837,2,2,Yes
chr1_f_c105932,1.7,0,No
chr1_f_c105945,1,0,No
chr1_f_c105974,3,0,No
chr1_f_c106043,9.3,0,No
chr1_f_c106060,1,0,No
chr1_f_c106173,1.3,0,No
chr1_f_c106202,4,0,No
chr1_f_c10627,22.3,0,No
chr1_f_c106357,3.7,0,No
chr1_f_c106402,3.7,0.5,No
chr1_f_c106434,1,0,No
chr1_f_c106450,2,0,No
chr1_f_c106589,1.7,0,No
chr1_f_c10662,1,0,No
chr1_f_c106713,5,0,No
chr1_f_c106741,1.7,0,No
chr1_f_c106802,2.7,0,No
chr1_f_c106820,1,0,No
chr1_f_c106919,3.7,0,No
chr1_f_c107015,1,0,No
chr1_f_c107077,13.7,0,No
chr1_f_c107080,2.7,0,No
chr1_f_c107086,2.3,0,No
chr1_f_c107104,3,0,No
chr1_f_c10717,2,0,No
chr1_f_c107246,1.7,0,No
chr1_f_c107358,2.7,0,No
chr1_f_c107444,2.3,0,No
chr1_f_c107626,1,0,No
chr1_f_c107924,1.3,0.5,No
chr1_f_c108007,21,0,No
chr1_f_c108015,68.7,0,No
chr1_f_c108037,1.7,0,No
chr1_f_c108082,4.3,0,No
chr1_f_c108239,5,0,No
chr1_f_c108261,6,1,Yes
chr1_f_c108267,1,0.5,No
chr1_f_c108379,1,0,No
chr1_f_c108463,1.3,0,No
chr1_f_c108597,3,0,No
chr1_f_c108797,1.7,0,No
chr1_f_c108853,2,0,No
chr1_f_c108928,2,0,No
chr1_f_c109088,1,0,No
chr1_f_c109114,1.3,2.5,Yes
chr1_f_c109239,2,0,No
chr1_f_c109406,2.7,0,No
chr1_f_c109528,2.7,0,No
chr1_f_c109625,5,0,No
chr1_f_c109659,1.7,0,No
chr1_f_c109741,2,0,No
chr1_f_c109876,1.3,0,No
chr1_f_c109913,27.7,0,No
chr1_f_c10994,1,0,No
chr1_f_c109967,1.3,0,No
chr1_f_c109976,1.7,0,No
chr1_f_c110125,2.7,0,No
chr1_f_c11013,2.3,0,No
chr1_f_c110191,27,0,No
chr1_f_c110207,8,19,Yes
chr1_f_c110295,2.7,0,No
chr1_f_c110331,1.7,0,No
chr1_f_c110344,3,0,No
chr1_f_c110514,11,0.5,No
chr1_f_c110565,1,0,No
chr1_f_c110624,3,0,No
chr1_f_c110667,3.7,0,No
chr1_f_c110696,1.3,0,No
chr1_f_c110776,1,0,No
chr1_f_c110846,9,0,No
chr1_f_c11094,4,0,No
chr1_f_c111046,1.7,0,No
chr1_f_c111084,1,0,No
chr1_f_c111097,67,0,No
chr1_f_c111190,49,0,No
chr1_f_c111205,269,9,Yes
chr1_f_c111216,1458.7,354,Yes
chr1_f_c111217,2.3,0,No
chr1_f_c111238,277,7,Yes
chr1_f_c111243,1462,366,Yes
chr1_f_c111244,4,0.5,No
chr1_f_c111259,281.3,6,Yes
chr1_f_c111265,1441,356.5,Yes
chr1_f_c111266,6,0.5,No
chr1_f_c111285,250.3,5.5,Yes
chr1_f_c111292,1479,348.5,Yes
chr1_f_c111311,269.3,11.5,Yes
chr1_f_c111329,552.3,40,Yes
chr1_f_c111367,213.7,10,Yes
chr1_f_c111370,78.7,0,No
chr1_f_c111378,133.3,2,Yes
chr1_f_c111379,1,0,No
chr1_f_c111431,48.3,0,No
chr1_f_c111442,65.3,0,No
chr1_f_c111444,1.7,0,No
chr1_f_c111520,3,0,No
chr1_f_c111649,1.3,0,No
chr1_f_c111752,1.3,0,No
chr1_f_c111808,6.3,0.5,No
chr1_f_c111852,1,0,No
chr1_f_c112010,5.3,0,No
chr1_f_c11207,11,0,No
chr1_f_c112071,3.3,0,No
chr1_f_c112155,3.3,0,No
chr1_f_c112283,1.7,1,Yes
chr1_f_c112333,2,0,No
chr1_f_c112415,1.7,0,No
chr1_f_c112416,1,0,No
chr1_f_c112420,1.3,0,No
chr1_f_c112625,6,0,No
chr1_f_c112626,5.3,0,No
chr1_f_c112644,75.7,0,No
chr1_f_c112691,17.3,4.5,Yes
chr1_f_c112722,2.3,0,No
chr1_f_c112794,2,0,No
chr1_f_c112906,1.7,0,No
chr1_f_c112914,5.3,0,No
chr1_f_c112934,1,0,No
chr1_f_c112965,21,0,No
chr1_f_c113003,17.3,1,Yes
chr1_f_c113021,4.7,0,No
chr1_f_c113058,2,0,No
chr1_f_c113133,2.7,0,No
chr1_f_c113224,2,0,No
chr1_f_c113225,2.3,0,No
chr1_f_c113264,12.7,0,No
chr1_f_c113300,9.7,0,No
chr1_f_c11332,1.7,0,No
chr1_f_c11335,1,0,No
chr1_f_c113353,9.7,0,No
chr1_f_c113361,22.3,0,No
chr1_f_c113366,5.7,0,No
chr1_f_c113420,1.7,0,No
chr1_f_c113432,8.3,0,No
chr1_f_c11355,1,0,No
chr1_f_c113900,1,3,Yes
chr1_f_c113931,5.7,1,Yes
chr1_f_c113943,1.3,0,No
chr1_f_c114081,1.3,0,No
chr1_f_c114087,1,0,No
chr1_f_c114088,3.3,0,No
chr1_f_c114108,1,1,Yes
chr1_f_c114110,1.3,0,No
chr1_f_c114161,5.7,0,No
chr1_f_c114236,1,0,No
chr1_f_c114408,2,0,No
chr1_f_c114532,39.7,0,No
chr1_f_c114618,1.3,0,No
chr1_f_c114670,3.3,0,No
chr1_f_c114698,1,0,No
chr1_f_c114890,1.3,0,No
chr1_f_c115047,1.3,0,No
chr1_f_c115078,71.3,1,Yes
chr1_f_c115401,6.7,0,No
chr1_f_c115620,189.3,15.5,Yes
chr1_f_c115623,2.7,0,No
chr1_f_c115752,1,0,No
chr1_f_c115772,1,0,No
chr1_f_c115799,10.7,0,No
chr1_f_c115822,1.3,0,No
chr1_f_c115924,3,0,No
chr1_f_c115999,2.7,0,No
chr1_f_c116224,76.3,0,No
chr1_f_c116240,1,0,No
chr1_f_c116271,3.3,0.5,No
chr1_f_c116277,1.7,0,No
chr1_f_c116303,106.7,0,No
chr1_f_c116473,10.3,0,No
chr1_f_c116569,1.7,0,No
chr1_f_c116632,1,0,No
chr1_f_c116695,12,0,No
chr1_f_c11675,1,0,No
chr1_f_c116776,1.3,0,No
chr1_f_c116796,7.3,0,No
chr1_f_c116896,5,0,No
chr1_f_c1169,1.7,2,Yes
chr1_f_c116946,5,0,No
chr1_f_c117082,2.3,0,No
chr1_f_c117206,2.7,0,No
chr1_f_c117241,2.3,0,No
chr1_f_c117304,1,0,No
chr1_f_c117310,1,0,No
chr1_f_c117318,4.7,0,No
chr1_f_c117323,1,0,No
chr1_f_c117329,4,0,No
chr1_f_c117347,1.3,0,No
chr1_f_c117428,1,0,No
chr1_f_c117582,1.3,0,No
chr1_f_c117717,2.3,2.5,Yes
chr1_f_c117838,3.3,0,No
chr1_f_c117853,1,0,No
chr1_f_c118113,2,0,No
chr1_f_c118152,1.7,0,No
chr1_f_c118153,1,0,No
chr1_f_c118185,1.7,0,No
chr1_f_c118283,3,0,No
chr1_f_c1183,2.7,0,No
chr1_f_c118371,1,0.5,No
chr1_f_c118514,8.7,0,No
chr1_f_c118576,4,0,No
chr1_f_c118615,1.3,0,No
chr1_f_c118646,2.3,0,No
chr1_f_c118677,1.3,0,No
chr1_f_c118833,1.7,0,No
chr1_f_c118848,1.3,0,No
chr1_f_c118942,2.7,0,No
chr1_f_c119089,2,0,No
chr1_f_c11931,5,0,No
chr1_f_c119352,8.3,0,No
chr1_f_c119377,3.7,0,No
chr1_f_c11939,1,0,No
chr1_f_c11946,2,0,No
chr1_f_c119545,16.3,0,No
chr1_f_c119564,1.3,0,No
chr1_f_c119759,1.7,0,No
chr1_f_c119772,11,0,No
chr1_f_c119782,2,0,No
chr1_f_c119853,1.7,0,No
chr1_f_c119887,9,6,Yes
chr1_f_c119897,1.3,0,No
chr1_f_c120167,2,0,No
chr1_f_c120231,3.3,0,No
chr1_f_c120432,1.3,0,No
chr1_f_c120443,3,0,No
chr1_f_c120561,1,0,No
chr1_f_c12066,26,0,No
chr1_f_c120731,8,0,No
chr1_f_c120968,1,0,No
chr1_f_c121035,1.3,0,No
chr1_f_c121076,1,0,No
chr1_f_c121127,1.3,0.5,No
chr1_f_c121210,1.7,0,No
chr1_f_c121277,13.3,0,No
chr1_f_c121317,1,0,No
chr1_f_c12154,1,0,No
chr1_f_c121578,2,0,No
chr1_f_c121919,35.7,0.5,No
chr1_f_c122194,2.3,0,No
chr1_f_c122453,1.3,0,No
chr1_f_c122481,1.3,0,No
chr1_f_c122517,4,0,No
chr1_f_c122849,51.3,0,No
chr1_f_c122898,1.7,0,No
chr1_f_c123036,62.7,0,No
chr1_f_c123133,7.7,0,No
chr1_f_c123172,3.7,0,No
chr1_f_c123396,1.7,0,No
chr1_f_c123397,1.3,0,No
chr1_f_c123463,1.7,0,No
chr1_f_c123484,9.3,0,No
chr1_f_c123694,6.3,3.5,Yes
chr1_f_c123729,3.7,0,No
chr1_f_c123836,14.3,0,No
chr1_f_c123840,2,0,No
chr1_f_c123852,1,0,No
chr1_f_c123992,1.7,0,No
chr1_f_c124013,8.3,0,No
chr1_f_c124120,5.3,0,No
chr1_f_c124125,1.3,0,No
chr1_f_c124142,73.3,0,No
chr1_f_c124210,1,0,No
chr1_f_c124463,2.7,0,No
chr1_f_c124498,4,0,No
chr1_f_c124671,1,0,No
chr1_f_c12480,1.3,0,No
chr1_f_c124818,7,0,No
chr1_f_c125172,2.3,0,No
chr1_f_c125197,20.3,0,No
chr1_f_c125316,1,0,No
chr1_f_c125350,4.7,0,No
chr1_f_c125392,1,0,No
chr1_f_c125447,1,0,No
chr1_f_c125517,5.3,0,No
chr1_f_c125540,3,0,No
chr1_f_c125658,1,0,No
chr1_f_c125693,1,0,No
chr1_f_c125707,1.3,0,No
chr1_f_c12594,2.3,0,No
chr1_f_c126068,2,0,No
chr1_f_c126156,3.7,0,No
chr1_f_c126278,1,0,No
chr1_f_c126283,21.3,0,No
chr1_f_c126306,272,0,No
chr1_f_c126345,13.7,0,No
chr1_f_c126524,4.7,0,No
chr1_f_c126568,10.7,0,No
chr1_f_c126846,1.7,0,No
chr1_f_c126925,1.7,0,No
chr1_f_c127010,6.3,0,No
chr1_f_c127050,1,0,No
chr1_f_c127096,5,0.5,No
chr1_f_c127164,1.7,1,Yes
chr1_f_c127170,6.7,0,No
chr1_f_c127302,1,0,No
chr1_f_c127317,2,0,No
chr1_f_c12733,22.3,0,No
chr1_f_c12736,4.3,0,No
chr1_f_c127482,1.3,0,No
chr1_f_c127525,3.7,0,No
chr1_f_c127695,2,0.5,No
chr1_f_c127764,3.7,0,No
chr1_f_c127821,1.7,0,No
chr1_f_c12783,2,0,No
chr1_f_c127880,1.7,0,No
chr1_f_c127883,2.7,0,No
chr1_f_c127966,4.7,0,No
chr1_f_c128112,1.3,0,No
chr1_f_c128126,3,0,No
chr1_f_c128163,114.3,0,No
chr1_f_c128170,1,0,No
chr1_f_c128185,9,0,No
chr1_f_c128199,1.3,1.5,Yes
chr1_f_c128452,7.7,0,No
chr1_f_c128502,1.3,0,No
chr1_f_c128547,1.3,0,No
chr1_f_c128667,3,0,No
chr1_f_c128678,2.3,0,No
chr1_f_c128770,1.7,0,No
chr1_f_c12897,1.3,0,No
chr1_f_c129036,2,0,No
chr1_f_c129038,1.7,0,No
chr1_f_c129065,1.7,1.5,Yes
chr1_f_c129286,21,0,No
chr1_f_c129360,8.3,0,No
chr1_f_c129424,2,0,No
chr1_f_c129664,1.7,0,No
chr1_f_c129686,1.3,0,No
chr1_f_c129768,1,0,No
chr1_f_c13015,18.7,0,No
chr1_f_c130331,1,0,No
chr1_f_c130489,3,0,No
chr1_f_c130524,2.3,0,No
chr1_f_c130531,1.3,0,No
chr1_f_c130769,3,0,No
chr1_f_c130771,17.7,0,No
chr1_f_c130859,1.7,0,No
chr1_f_c131044,7,0,No
chr1_f_c131092,2,0,No
chr1_f_c131152,2,0,No
chr1_f_c131153,1.3,0,No
chr1_f_c131187,1.3,0,No
chr1_f_c1316,1495.3,2.5,Yes
chr1_f_c131923,2.3,0,No
chr1_f_c132059,2,0,No
chr1_f_c1321,685.3,1,Yes
chr1_f_c132171,2.3,0,No
chr1_f_c1326,560.3,0.5,No
chr1_f_c132632,1,0,No
chr1_f_c132645,2,0,No
chr1_f_c132665,2.3,0,No
chr1_f_c132677,3,0,No
chr1_f_c133200,2,0,No
chr1_f_c133258,3.7,0,No
chr1_f_c133465,2.7,0,No
chr1_f_c133476,1,0,No
chr1_f_c133535,1.7,0,No
chr1_f_c133653,1.3,0,No
chr1_f_c13374,11.7,0,No
chr1_f_c134084,9,0,No
chr1_f_c134455,7.3,0,No
chr1_f_c13459,1,0,No
chr1_f_c134613,6,0,No
chr1_f_c134618,2,1.5,Yes
chr1_f_c134658,12.3,0,No
chr1_f_c134834,7.3,0,No
chr1_f_c134943,2.7,1,Yes
chr1_f_c134951,3.3,0,No
chr1_f_c134968,1,0,No
chr1_f_c13499,1,0,No
chr1_f_c135076,1,0,No
chr1_f_c135247,2.3,0,No
chr1_f_c135371,1.3,0,No
chr1_f_c135372,1,0,No
chr1_f_c135380,1,0,No
chr1_f_c135384,7.3,0,No
chr1_f_c135386,1.7,0,No
chr1_f_c13540,2.3,0,No
chr1_f_c135484,2.3,0,No
chr1_f_c135488,5.7,0,No
chr1_f_c135601,1.3,0,No
chr1_f_c135606,1,0,No
chr1_f_c135622,1.7,0,No
chr1_f_c135938,2,0,No
chr1_f_c135940,4.7,0,No
chr1_f_c136011,1,0,No
chr1_f_c136109,4.7,0,No
chr1_f_c136125,136.7,156,Yes
chr1_f_c136357,1.7,0,No
chr1_f_c136490,5.7,0,No
chr1_f_c136534,7.7,0,No
chr1_f_c136562,9.7,0,No
chr1_f_c136606,2,0,No
chr1_f_c136736,1,0,No
chr1_f_c136762,1.3,0.5,No
chr1_f_c136806,1,0,No
chr1_f_c136847,2.3,0,No
chr1_f_c136860,2,0,No
chr1_f_c136887,3,0,No
chr1_f_c136971,1,0,No
chr1_f_c136975,1,0.5,No
chr1_f_c137063,5.3,0,No
chr1_f_c13711,1.3,0,No
chr1_f_c137165,65.7,0,No
chr1_f_c137250,33.3,0,No
chr1_f_c137564,3.3,0,No
chr1_f_c137696,4,0,No
chr1_f_c13784,5.3,0,No
chr1_f_c13786,2.3,0,No
chr1_f_c138204,1200.3,298,Yes
chr1_f_c138216,1,0,No
chr1_f_c138274,1,0,No
chr1_f_c138412,2.7,0,No
chr1_f_c138437,10,0,No
chr1_f_c138443,6.3,0,No
chr1_f_c138655,7.7,0,No
chr1_f_c138819,43,0,No
chr1_f_c138904,1.3,0,No
chr1_f_c13891,1.3,0,No
chr1_f_c138936,8.7,0,No
chr1_f_c138954,1.3,0,No
chr1_f_c138980,23,0,No
chr1_f_c138981,1,0,No
chr1_f_c13900,13,0,No
chr1_f_c139030,83.7,0.5,No
chr1_f_c139098,4,0,No
chr1_f_c139165,2,0,No
chr1_f_c139184,2.3,0,No
chr1_f_c139290,6,0,No
chr1_f_c139379,1,0,No
chr1_f_c139445,3.3,0,No
chr1_f_c13945,986.3,0,No
chr1_f_c139499,1,0,No
chr1_f_c139511,146,0,No
chr1_f_c139630,4,0,No
chr1_f_c139729,10.7,0,No
chr1_f_c139854,1.7,0,No
chr1_f_c139937,2,1,Yes
chr1_f_c140305,1.3,0,No
chr1_f_c140615,2,0,No
chr1_f_c140742,2.7,0,No
chr1_f_c140763,2.3,0,No
chr1_f_c140906,7.3,0,No
chr1_f_c140907,3,0,No
chr1_f_c14131,2,0,No
chr1_f_c141333,1.3,0,No
chr1_f_c141362,1,0,No
chr1_f_c141558,2,0,No
chr1_f_c141571,1.3,0,No
chr1_f_c141618,4,0,No
chr1_f_c14163,101,0,No
chr1_f_c141642,1.7,0,No
chr1_f_c14165,4.7,0,No
chr1_f_c141860,4.3,0,No
chr1_f_c141921,5.3,0,No
chr1_f_c141952,4.7,0,No
chr1_f_c141955,1.7,0,No
chr1_f_c141977,1,0,No
chr1_f_c142089,1,0,No
chr1_f_c142113,2.3,0,No
chr1_f_c142163,1,0,No
chr1_f_c142212,3.7,0,No
chr1_f_c142231,7172.3,3,Yes
chr1_f_c142434,2,0,No
chr1_f_c142462,1.3,0,No
chr1_f_c143014,5.7,0,No
chr1_f_c14307,3.7,0,No
chr1_f_c143110,1,0,No
chr1_f_c143133,7.3,8.5,Yes
chr1_f_c143370,1.7,0,No
chr1_f_c143378,1,0,No
chr1_f_c143479,1.7,0,No
chr1_f_c143505,4.7,0,No
chr1_f_c143542,2.7,0,No
chr1_f_c143573,2.3,0,No
chr1_f_c143814,1,0,No
chr1_f_c143824,1,0,No
chr1_f_c143885,1,0,No
chr1_f_c143932,1,0,No
chr1_f_c143945,1,0.5,No
chr1_f_c144031,24,0,No
chr1_f_c144073,3.3,0,No
chr1_f_c144389,42,0,No
chr1_f_c144517,1,0,No
chr1_f_c144656,1,0,No
chr1_f_c144718,12.7,0,No
chr1_f_c144793,1.3,0,No
chr1_f_c144828,2.7,0.5,No
chr1_f_c145036,1.7,0,No
chr1_f_c14504,24.7,0,No
chr1_f_c145102,1,0,No
chr1_f_c145177,1,0,No
chr1_f_c145182,6,0,No
chr1_f_c14526,1,0,No
chr1_f_c145292,4.3,0,No
chr1_f_c145347,4,2.5,Yes
chr1_f_c145367,2,0,No
chr1_f_c145655,1,0,No
chr1_f_c145690,91.3,0.5,No
chr1_f_c145691,1.7,0,No
chr1_f_c145842,33.7,0,No
chr1_f_c145904,1.3,0,No
chr1_f_c145957,2.3,0,No
chr1_f_c146012,1.3,0,No
chr1_f_c14620,1,0,No
chr1_f_c146272,3,0,No
chr1_f_c146372,1,0,No
chr1_f_c146568,2.7,0,No
chr1_f_c146601,1,0,No
chr1_f_c146726,10.7,0,No
chr1_f_c146749,1.3,0,No
chr1_f_c146807,4.7,0,No
chr1_f_c146816,1,0,No
chr1_f_c147048,1,0,No
chr1_f_c147054,3.3,0,No
chr1_f_c147171,1.7,0,No
chr1_f_c14720,5,0,No
chr1_f_c147292,3.7,0,No
chr1_f_c147378,3,0,No
chr1_f_c147419,1,0,No
chr1_f_c147431,7,0,No
chr1_f_c147459,1.7,0,No
chr1_f_c147500,1,0,No
chr1_f_c147514,1,0,No
chr1_f_c147598,1,0,No
chr1_f_c147752,2.3,0,No
chr1_f_c147925,7,0,No
chr1_f_c148266,33.3,0,No
chr1_f_c14829,3,0,No
chr1_f_c148294,1,0,No
chr1_f_c148359,3,0,No
chr1_f_c148389,9.3,0,No
chr1_f_c148540,1.3,0,No
chr1_f_c148556,1.7,0,No
chr1_f_c148593,1.3,0,No
chr1_f_c148696,6,0,No
chr1_f_c148791,1.3,0,No
chr1_f_c148803,1.3,0,No
chr1_f_c148876,1,0,No
chr1_f_c149170,1.3,0,No
chr1_f_c149290,1.3,0,No
chr1_f_c149430,7.3,0,No
chr1_f_c149606,2.3,3,Yes
chr1_f_c149690,1,0,No
chr1_f_c149787,51.3,0,No
chr1_f_c149792,2.7,0,No
chr1_f_c149903,1.7,0,No
chr1_f_c149931,2,0,No
chr1_f_c149976,5.3,0,No
chr1_f_c150064,1,0,No
chr1_f_c150076,2.3,0,No
chr1_f_c150212,4,0,No
chr1_f_c150229,2,0,No
chr1_f_c150320,1,0,No
chr1_f_c15037,2,0,No
chr1_f_c150538,9,0,No
chr1_f_c150540,923.7,1,Yes
chr1_f_c15063,12.7,0,No
chr1_f_c150825,2.3,0,No
chr1_f_c151011,6.7,0,No
chr1_f_c15102,1,0,No
chr1_f_c151054,1.7,0,No
chr1_f_c15106,27,0,No
chr1_f_c151193,27.3,0,No
chr1_f_c151236,1,0,No
chr1_f_c151270,4.3,0,No
chr1_f_c151356,4,0,No
chr1_f_c151373,1,0,No
chr1_f_c151442,1,0,No
chr1_f_c151576,1.7,0,No
chr1_f_c151745,7.3,0,No
chr1_f_c151827,11,0,No
chr1_f_c151831,2,0,No
chr1_f_c151852,3.3,0,No
chr1_f_c151858,1,0,No
chr1_f_c15187,2.7,0,No
chr1_f_c151977,1.3,0,No
chr1_f_c152124,1.7,0,No
chr1_f_c152142,1,0,No
chr1_f_c152154,1,0,No
chr1_f_c152173,1,0,No
chr1_f_c152198,3.3,0,No
chr1_f_c152495,1,0,No
chr1_f_c152661,1.3,0,No
chr1_f_c15277,4,0,No
chr1_f_c152770,12,1,Yes
chr1_f_c152833,1.7,0,No
chr1_f_c152953,14.3,0,No
chr1_f_c152987,2,0,No
chr1_f_c153008,1,0,No
chr1_f_c153102,2.3,0,No
chr1_f_c153155,10,34,Yes
chr1_f_c153241,1,0,No
chr1_f_c153244,3.3,0,No
chr1_f_c153510,3.7,0,No
chr1_f_c153568,1.3,0.5,No
chr1_f_c153647,3.7,0,No
chr1_f_c153665,23,0,No
chr1_f_c153942,1.3,0,No
chr1_f_c154008,7,0,No
chr1_f_c154018,1,0,No
chr1_f_c154070,4.7,0,No
chr1_f_c154089,1.3,0,No
chr1_f_c154128,1.3,0,No
chr1_f_c154136,1.3,0,No
chr1_f_c154225,3.3,0,No
chr1_f_c154302,3.3,0,No
chr1_f_c15435,9,0,No
chr1_f_c154360,2,0,No
chr1_f_c154404,2.7,0,No
chr1_f_c154453,98.7,1,Yes
chr1_f_c15448,1,0,No
chr1_f_c154516,1,0,No
chr1_f_c15455,1,0,No
chr1_f_c154556,1.3,0,No
chr1_f_c154612,1,0,No
chr1_f_c15463,1.3,0,No
chr1_f_c15473,6.7,0,No
chr1_f_c154877,4.7,0,No
chr1_f_c154888,101,0.5,No
chr1_f_c15502,1.3,0,No
chr1_f_c155024,1.7,0,No
chr1_f_c155062,2.7,0,No
chr1_f_c155318,20,0,No
chr1_f_c155403,4.7,14,Yes
chr1_f_c155538,5.7,0,No
chr1_f_c155611,13.7,0,No
chr1_f_c155817,5.7,9.5,Yes
chr1_f_c155847,19,0,No
chr1_f_c155919,3.3,0,No
chr1_f_c155929,2,0,No
chr1_f_c156004,2.3,0,No
chr1_f_c156012,1,0,No
chr1_f_c156274,11.3,0,No
chr1_f_c156275,3.3,0,No
chr1_f_c156787,11.3,0,No
chr1_f_c15680,2.7,0,No
chr1_f_c156815,1,0,No
chr1_f_c156951,6.7,0,No
chr1_f_c157009,2.3,0,No
chr1_f_c157031,1.7,0,No
chr1_f_c15708,1.3,0,No
chr1_f_c157087,9.3,0,No
chr1_f_c157137,1,0,No
chr1_f_c157166,6.7,0,No
chr1_f_c157195,1,0,No
chr1_f_c157316,3.3,0,No
chr1_f_c157369,1,0,No
chr1_f_c157440,87.7,370,Yes
chr1_f_c157485,1,0,No
chr1_f_c157498,1,0.5,No
chr1_f_c15758,6,0,No
chr1_f_c157641,1,0,No
chr1_f_c157681,1.3,0,No
chr1_f_c157806,1.3,0,No
chr1_f_c157819,3.3,0,No
chr1_f_c157860,1.3,0,No
chr1_f_c157896,3.3,0,No
chr1_f_c157992,1.7,0,No
chr1_f_c158575,1.3,0,No
chr1_f_c158605,1,0.5,No
chr1_f_c158900,1.3,0,No
chr1_f_c158910,15.7,0,No
chr1_f_c158963,2.3,0,No
chr1_f_c159025,3,0,No
chr1_f_c159143,1.7,0,No
chr1_f_c159173,1,0,No
chr1_f_c159238,1.3,0,No
chr1_f_c159287,3.7,0,No
chr1_f_c159353,10.7,0,No
chr1_f_c159436,5.7,1,Yes
chr1_f_c159517,2,0,No
chr1_f_c159605,1,0,No
chr1_f_c159763,2.7,0,No
chr1_f_c159839,9,0,No
chr1_f_c159857,2.3,0,No
chr1_f_c159881,1,0,No
chr1_f_c15989,1,0,No
chr1_f_c159964,1.3,0,No
chr1_f_c160033,1.3,0,No
chr1_f_c160135,2,0,No
chr1_f_c160254,2,0,No
chr1_f_c160269,11.3,0,No
chr1_f_c160423,1.3,0,No
chr1_f_c160453,1.3,0,No
chr1_f_c160455,58.3,0,No
chr1_f_c160499,2,0,No
chr1_f_c160526,10.3,0,No
chr1_f_c160543,6,0,No
chr1_f_c160824,6,0,No
chr1_f_c160856,23.3,0,No
chr1_f_c160919,2.7,0,No
chr1_f_c160932,2,0,No
chr1_f_c160933,20,0,No
chr1_f_c161070,2.3,0,No
chr1_f_c161180,116,0,No
chr1_f_c161461,11,0.5,No
chr1_f_c16160,1.7,0,No
chr1_f_c16192,3,0,No
chr1_f_c16193,7.7,2,Yes
chr1_f_c161963,1,0,No
chr1_f_c161981,27,0,No
chr1_f_c162148,1,0,No
chr1_f_c162324,2.7,0,No
chr1_f_c162550,1.3,0.5,No
chr1_f_c162652,2,0,No
chr1_f_c162664,1.7,0,No
chr1_f_c162698,4.7,1,Yes
chr1_f_c162712,1,0,No
chr1_f_c162801,1,0,No
chr1_f_c162834,4,1.5,Yes
chr1_f_c162964,3,0,No
chr1_f_c163077,1.3,0,No
chr1_f_c163120,1.7,0,No
chr1_f_c163121,1,0,No
chr1_f_c163185,60,0,No
chr1_f_c163244,28,0,No
chr1_f_c163247,1.3,0,No
chr1_f_c16334,7,0,No
chr1_f_c163444,1,0,No
chr1_f_c16353,2.3,0,No
chr1_f_c163592,6,0,No
